filename,width,height,class,xmin,ymin,xmax,ymax
IMG-20200616-WA0000.jpg,800,600,engine gear alfa,143,152,703,550
IMG-20200616-WA0001.jpg,800,600,engine gear alfa,26,77,686,479
IMG-20200616-WA0002.jpg,800,600,engine gear alfa,34,109,800,522
IMG-20200616-WA0005.jpg,800,600,engine gear alfa,15,113,769,535
IMG-20200616-WA0006.jpg,800,600,engine gear alfa,187,262,540,444
IMG-20200616-WA0007.jpg,800,600,engine gear alfa,318,264,528,377
IMG-20200616-WA0008.jpg,800,600,engine gear alfa,96,223,720,532
IMG-20200616-WA0009.jpg,800,600,engine gear alfa,23,184,687,528
IMG-20200616-WA0011.jpg,800,600,engine gear ape,95,274,626,517
IMG-20200616-WA0012.jpg,800,600,engine gear ape,24,223,733,549
IMG-20200616-WA0013.jpg,800,600,engine gear ape,16,194,784,556
IMG-20200616-WA0014.jpg,800,600,engine gear ape,176,264,800,596
IMG-20200616-WA0015.jpg,800,600,engine gear ape,43,104,714,412
IMG-20200616-WA0018.jpg,800,600,engine gear ape,31,124,702,420
IMG-20200616-WA0019.jpg,800,600,engine gear ape,71,173,799,557
IMG-20200616-WA0020.jpg,800,600,engine gear ape,231,187,571,369
WhatsApp Image 2020-06-21 at 10.43.41 (2).jpeg,720,1280,engine gear alfa,47,426,597,978
WhatsApp Image 2020-06-21 at 10.43.41.jpeg,720,1280,engine gear alfa,56,489,581,983
WhatsApp Image 2020-06-21 at 10.43.42.jpeg,720,1280,engine gear alfa,3,422,579,968
WhatsApp Image 2020-06-21 at 10.45.36.jpeg,720,1280,engine gear ape,41,437,568,1049
WhatsApp Image 2020-06-21 at 10.45.37 (1).jpeg,720,1280,engine gear ape,106,349,681,972
WhatsApp Image 2020-06-21 at 10.45.37 (2).jpeg,720,1280,engine gear ape,22,478,626,1106
WhatsApp Image 2020-06-21 at 10.45.37.jpeg,720,1280,engine gear ape,33,430,606,993
